Name,ParentFunc
BT_TASKS,BT_EXECUTE
BT_EXECUTE,FSM_UPDATE
EVENT_CHECK,ROOT
FSM_UPDATE,AI_HANDLER_UPDATE
EVENT_UPDATE,AI_HANDLER_UPDATE
AI_HANDLER_UPDATE,ROOT

Nr of AI,Name,TimeSpent[ms],TotalRunTime[ms],Iterations,frames
1310,BT_TASKS,3375.03,6000,709963,166
1320,BT_TASKS,3379.46,6000,708790,165
1330,BT_TASKS,3406.78,6000,718155,168
1340,BT_TASKS,3417.99,6000,726193,168
1350,BT_TASKS,3381.66,6000,716790,165
1360,BT_TASKS,3459.49,6000,735689,169
1370,BT_TASKS,3423.64,6000,701357,158
1380,BT_TASKS,3449.36,6000,724403,163
1390,BT_TASKS,3464.89,6000,736679,164
1400,BT_TASKS,3461.44,6000,729305,163
1410,BT_TASKS,3447.43,6000,728950,161
1420,BT_TASKS,3462.03,6000,726956,160
1430,BT_TASKS,3479.35,6000,733570,161
1440,BT_TASKS,3457.3,6000,725750,158
1450,BT_TASKS,3474.56,6000,733615,158
1460,BT_TASKS,3492.61,6000,721158,154
1470,BT_TASKS,3492.18,6000,718773,153
1480,BT_TASKS,3492.39,6000,726678,155
1490,BT_TASKS,3500.11,6000,724133,152
1500,BT_TASKS,3524.92,6000,725938,152
1510,BT_TASKS,3513.37,6000,727818,152
1520,BT_TASKS,3491.39,6000,714398,148
1530,BT_TASKS,3519.92,6000,719051,148
1540,BT_TASKS,3553.36,6000,728420,149
1550,BT_TASKS,3541.25,6000,725395,146
1560,BT_TASKS,3542.14,6000,715996,145
1570,BT_TASKS,3565.38,6000,719015,144
1580,BT_TASKS,3555.48,6000,720438,144
1590,BT_TASKS,3551.27,6000,715462,142
1600,BT_TASKS,3528.78,6000,716791,142
1610,BT_TASKS,3572.8,6000,719660,141
1620,BT_TASKS,3546.6,6000,712773,140
1630,BT_TASKS,3563.09,6000,707378,138
1640,BT_TASKS,3585.2,6000,710071,137
1650,BT_TASKS,3602.01,6000,707838,133
1660,BT_TASKS,3614.74,6000,718712,137
1670,BT_TASKS,3595.92,6000,709699,135
1680,BT_TASKS,3593.32,6000,707232,135
1690,BT_TASKS,3587.94,6000,704700,133
1700,BT_TASKS,3572.77,6000,700373,132
1710,BT_TASKS,3610.52,6000,702778,131
1720,BT_TASKS,3615.52,6000,706878,131
1730,BT_TASKS,3640.2,6000,705791,130
1740,BT_TASKS,3579.65,6000,694241,129
1750,BT_TASKS,3659.14,6000,705220,129
1760,BT_TASKS,3642.07,6000,702214,127
1770,BT_TASKS,3651.17,6000,693753,126
1780,BT_TASKS,3699.25,6000,703007,127
1790,BT_TASKS,3656.59,6000,698063,126
1800,BT_TASKS,3656.77,6000,692964,123
1810,BT_TASKS,3680.6,6000,691318,122
1820,BT_TASKS,3695.33,6000,698754,124
1830,BT_TASKS,3688.62,6000,684284,120
1840,BT_TASKS,3714.18,6000,691697,122
1850,BT_TASKS,3732.31,6000,693613,121
1860,BT_TASKS,3733.27,6000,678781,115
1870,BT_TASKS,3718.03,6000,684312,118
1880,BT_TASKS,3750.72,6000,676653,116
1890,BT_TASKS,3742.01,6000,685954,119
1900,BT_TASKS,3773.4,6000,681951,117
1910,BT_TASKS,3748.59,6000,683649,116
1920,BT_TASKS,3758.46,6000,675717,114
1930,BT_TASKS,3744.36,6000,663733,112
1940,BT_TASKS,3734.14,6000,665217,113
1950,BT_TASKS,3772.5,6000,672492,113
1960,BT_TASKS,3765.29,6000,658301,110
1970,BT_TASKS,3762.62,6000,657792,110
1980,BT_TASKS,3786.33,6000,665021,110
1990,BT_TASKS,3761.19,6000,654517,109
2000,BT_TASKS,3806.19,6000,663680,110
2010,BT_TASKS,3783.71,6000,650908,108
2020,BT_TASKS,3787.8,6000,654163,108
2030,BT_TASKS,3795.81,6000,651311,107
2040,BT_TASKS,3812.23,6000,628710,104
2050,BT_TASKS,3861.65,6000,643672,104
2060,BT_TASKS,3872.84,6000,644698,103
2070,BT_TASKS,3821.66,6000,617927,100
2080,BT_TASKS,3904.55,6000,620973,100
2086,BT_TASKS,3854.15,6000,608471,99
2100,BT_TASKS,3848.42,6000,620118,99
2110,BT_TASKS,3879.76,6000,621139,98
2086,BT_TASKS,3832.37,6000,614780,100
2086,BT_TASKS,3909.63,6000,633371,101
2110,BT_TASKS,3896.75,6000,629623,100
2110,BT_TASKS,3904.32,6000,625407,100
2110,BT_TASKS,3880.52,6000,627406,99
2110,BT_TASKS,3890.39,6000,623318,99
2110,BT_TASKS,3880.58,6000,629651,100
2110,BT_TASKS,3899.44,6000,631848,101
2086,BT_TASKS,3877.21,6000,625224,101
2086,BT_TASKS,3888.03,6000,623032,100
2110,BT_TASKS,3923.71,6000,629697,100
2086,BT_TASKS,3923.42,6000,633313,101
2110,BT_TASKS,3863.71,6000,629635,100
2086,BT_TASKS,3886.61,6000,622956,100
2110,BT_TASKS,3847.83,6000,621398,100
2086,BT_TASKS,3493.43,6000,814171,130
2086,BT_TASKS,3924.52,6000,629282,101
2110,BT_TASKS,3912.62,6000,623314,99
2110,BT_TASKS,3859.68,6000,614800,97
2086,BT_TASKS,3873.32,6000,625161,101
2086,BT_TASKS,3859.03,6000,622948,100
2110,BT_TASKS,3886.62,6000,623260,99
2110,BT_TASKS,3875.88,6000,631806,101
2086,BT_TASKS,3919.63,6000,622940,100
2110,BT_TASKS,3887.75,6000,629587,100
2110,BT_TASKS,3906.42,6000,623127,99
2110,BT_TASKS,3832.87,6000,621438,100
2086,BT_TASKS,3885.77,6000,612299,97
2110,BT_TASKS,3867.61,6000,619130,99
2086,BT_TASKS,3869.76,6000,622972,100
2086,BT_TASKS,3919.13,6000,629117,101
2110,BT_TASKS,3915.23,6000,629678,100
2086,BT_TASKS,3864.19,6000,625151,101
2086,BT_TASKS,3853.72,6000,622993,100
2086,BT_TASKS,3834.46,6000,618875,100
2110,BT_TASKS,3838.51,6000,615057,99
2110,BT_TASKS,3904.44,6000,621046,98
2086,BT_TASKS,3857.33,6000,625160,101
2110,BT_TASKS,3862.17,6000,623319,99
2086,BT_TASKS,3863.67,6000,623026,100
2110,BT_TASKS,3925.26,6000,629632,100
2110,BT_TASKS,3879.94,6000,621056,98
2110,BT_TASKS,3877.96,6000,629684,100
2110,BT_TASKS,3916.57,6000,629531,100
2110,BT_TASKS,3926.48,6000,627508,99
2086,BT_TASKS,3859.31,6000,622959,100
2110,BT_TASKS,3828.84,6000,619209,99
2086,BT_TASKS,3880.58,6000,618683,98
2086,BT_TASKS,3912.72,6000,627080,100
2110,BT_TASKS,3887.4,6000,629658,100
2086,BT_TASKS,3831.85,6000,618668,98
2110,BT_TASKS,3813.63,6000,612824,98
2086,BT_TASKS,3800.91,6000,614493,98
2086,BT_TASKS,3898.9,6000,622896,100
2086,BT_TASKS,3870.46,6000,625114,101
2086,BT_TASKS,3868.15,6000,622901,100
2086,BT_TASKS,3878.33,6000,625168,101
2110,BT_TASKS,3841.11,6000,623313,99
2086,BT_TASKS,3876.87,6000,622999,100
2086,BT_TASKS,3886,6000,622918,100
2110,BT_TASKS,3904.37,6000,625486,100
2086,BT_TASKS,3844.29,6000,625139,101
2110,BT_TASKS,3898.16,6000,629640,100
2086,BT_TASKS,3861.35,6000,620820,99
2086,BT_TASKS,3912.11,6000,624909,99
2110,BT_TASKS,3858.78,6000,625422,100
2086,BT_TASKS,3827.05,6000,616692,99
2110,BT_TASKS,3851.16,6000,619140,99
2110,BT_TASKS,3860.14,6000,623307,99
2086,BT_TASKS,3828.59,6000,621116,101
2086,BT_TASKS,3919.42,6000,620868,99
2086,BT_TASKS,3847.16,6000,625152,101
2110,BT_TASKS,3857.13,6000,623261,99
2086,BT_TASKS,3926.17,6000,633313,101
2086,BT_TASKS,3859.35,6000,625169,101
2086,BT_TASKS,3844.48,6000,622852,100
2086,BT_TASKS,3912.79,6000,625138,101
2086,BT_TASKS,3879.65,6000,625179,101
2086,BT_TASKS,3898.04,6000,633406,101
2086,BT_TASKS,3842.8,6000,625131,101
2086,BT_TASKS,3880.31,6000,622916,100
2110,BT_TASKS,3914.6,6000,631822,101
2086,BT_TASKS,3877.5,6000,622949,100
2086,BT_TASKS,3851.21,6000,616592,99
2110,BT_TASKS,3858.76,6000,623199,99
2086,BT_TASKS,3895.02,6000,625120,101
2110,BT_TASKS,3859.76,6000,623331,99
2086,BT_TASKS,3823.32,6000,620797,99
2110,BT_TASKS,3876.35,6000,631815,101
2110,BT_TASKS,3876.7,6000,629695,100
2086,BT_TASKS,3842.42,6000,623001,100
2110,BT_TASKS,3832.63,6000,612625,96
2086,BT_TASKS,3893.03,6000,622951,100
2086,BT_TASKS,3878.5,6000,629287,101
2086,BT_TASKS,3865.23,6000,629312,101
2086,BT_TASKS,3907.96,6000,623017,100
2086,BT_TASKS,3863.51,6000,622957,100
2086,BT_TASKS,3887.15,6000,618769,100
2086,BT_TASKS,3841.43,6000,616670,99
2110,BT_TASKS,3843.12,6000,623315,99
2110,BT_TASKS,3916.73,6000,629653,100
2110,BT_TASKS,3883.23,6000,621070,98
2110,BT_TASKS,3878.34,6000,623319,99
2086,BT_TASKS,3880.08,6000,616699,99
2110,BT_TASKS,3828.91,6000,614933,99
2110,BT_TASKS,3852.38,6000,623261,99
2110,BT_TASKS,3853.89,6000,623297,99
2086,BT_TASKS,3829.87,6000,625117,101
2110,BT_TASKS,3880.67,6000,614963,99
2086,BT_TASKS,3839.21,6000,625134,101
2110,BT_TASKS,3869.83,6000,623414,99
2086,BT_TASKS,3893.56,6000,618549,98
2110,BT_TASKS,3875.24,6000,623177,99
2086,BT_TASKS,3853.8,6000,625127,101
2086,BT_TASKS,3859.36,6000,623000,100
2086,BT_TASKS,3836.59,6000,622992,100
2086,BT_TASKS,3885.91,6000,622984,100
2086,BT_TASKS,3872.93,6000,629323,101
2086,BT_TASKS,3880.59,6000,623029,100
2086,BT_TASKS,3872.15,6000,620852,99
2086,BT_TASKS,3871.81,6000,623006,100
2086,BT_TASKS,3859.83,6000,616701,99
2086,BT_TASKS,3849.54,6000,622989,100
